FrameID,Uncompressed,Compressed_Mbytes,Compressed_Mbits_q=32
226,5.93,0.87,6.96
227,5.93,0.87,6.96
228,5.93,0.87,6.96
229,5.93,0.86,6.88
230,5.93,0.86,6.88
231,5.93,0.86,6.88
232,5.93,0.86,6.88
233,5.93,0.87,6.96
234,5.93,0.87,6.96
235,5.93,0.87,6.96
236,5.93,0.86,6.88
237,5.93,0.86,6.88
238,5.93,0.86,6.88
239,5.93,0.86,6.88
240,5.93,0.86,6.88
241,5.93,0.88,7.04
242,5.93,0.87,6.96
243,5.93,0.87,6.96
244,5.93,0.87,6.96
245,5.93,0.87,6.96
246,5.93,0.87,6.96
247,5.93,0.87,6.96
248,5.93,0.87,6.96
249,5.93,0.86,6.88
250,5.93,0.86,6.88
251,5.93,0.86,6.88
252,5.93,0.86,6.88
253,5.93,0.86,6.88
254,5.93,0.86,6.88
255,5.93,0.87,6.96
256,5.93,0.86,6.88
257,5.93,0.86,6.88
258,5.93,0.86,6.88
259,5.93,0.86,6.88
260,5.93,0.86,6.88
261,5.93,0.86,6.88
262,5.93,0.86,6.88
263,5.93,0.86,6.88
264,5.93,0.87,6.96
265,5.93,0.87,6.96
266,5.93,0.87,6.96
267,5.93,0.87,6.96
268,5.93,0.87,6.96
269,5.93,0.87,6.96
270,5.93,0.87,6.96
271,5.93,0.88,7.04
272,5.93,0.87,6.96
273,5.93,0.87,6.96
274,5.93,0.87,6.96
275,5.93,0.87,6.96
276,5.93,0.87,6.96
277,5.93,0.87,6.96
278,5.93,0.87,6.96
279,5.93,0.87,6.96
280,5.93,0.87,6.96
281,5.93,0.86,6.88
282,5.93,0.86,6.88
283,5.93,0.86,6.88
284,5.93,0.86,6.88
285,5.93,0.87,6.96
286,5.93,0.87,6.96
287,5.93,0.87,6.96
288,5.93,0.86,6.88
289,5.93,0.86,6.88
290,5.93,0.87,6.96
291,5.93,0.86,6.88
292,5.93,0.86,6.88
293,5.93,0.86,6.88
294,5.93,0.86,6.88
295,5.93,0.86,6.88
296,5.93,0.86,6.88
297,5.93,0.86,6.88
298,5.93,0.86,6.88
299,5.93,0.86,6.88
300,5.93,0.86,6.88
301,5.93,0.88,7.04
302,5.93,0.87,6.96
303,5.93,0.87,6.96
304,5.93,0.87,6.96
305,5.93,0.87,6.96
306,5.93,0.87,6.96
307,5.93,0.86,6.88
308,5.93,0.87,6.96
309,5.93,0.87,6.96
310,5.93,0.87,6.96
311,5.93,0.87,6.96
312,5.93,0.87,6.96
313,5.93,0.86,6.88
314,5.93,0.87,6.96
315,5.93,0.87,6.96
316,5.93,0.87,6.96
317,5.93,0.87,6.96
318,5.93,0.87,6.96
319,5.93,0.87,6.96
320,5.93,0.87,6.96
321,5.93,0.87,6.96
322,5.93,0.87,6.96
323,5.93,0.86,6.88
324,5.93,0.86,6.88
325,5.93,0.86,6.88
326,5.93,0.87,6.96
327,5.93,0.87,6.96
328,5.93,0.87,6.96
329,5.93,0.87,6.96
330,5.93,0.86,6.88
331,5.93,0.88,7.04
332,5.93,0.88,7.04
333,5.93,0.87,6.96
334,5.93,0.87,6.96
335,5.93,0.87,6.96
336,5.93,0.87,6.96
337,5.93,0.87,6.96
338,5.93,0.87,6.96
339,5.93,0.87,6.96
340,5.93,0.87,6.96
341,5.93,0.86,6.88
342,5.93,0.86,6.88
343,5.93,0.86,6.88
344,5.93,0.86,6.88
345,5.93,0.86,6.88
346,5.93,0.86,6.88
347,5.93,0.86,6.88
348,5.93,0.86,6.88
349,5.93,0.87,6.96
350,5.93,0.87,6.96
351,5.93,0.86,6.88
352,5.93,0.86,6.88
353,5.93,0.86,6.88
354,5.93,0.86,6.88
355,5.93,0.86,6.88
356,5.93,0.86,6.88
357,5.93,0.86,6.88
358,5.93,0.86,6.88
359,5.93,0.86,6.88
360,5.93,0.86,6.88
361,5.93,0.87,6.96
362,5.93,0.86,6.88
363,5.93,0.86,6.88
364,5.93,0.86,6.88
365,5.93,0.86,6.88
366,5.93,0.86,6.88
367,5.93,0.86,6.88
368,5.93,0.86,6.88
369,5.93,0.85,6.8
370,5.93,0.85,6.8
371,5.93,0.85,6.8
372,5.93,0.85,6.8
373,5.93,0.85,6.8
374,5.93,0.85,6.8
375,5.93,0.85,6.8
376,5.93,0.85,6.8
377,5.93,0.85,6.8
378,5.93,0.85,6.8
