FrameID,Uncompressed,Compressed
1,2.64,0.77679
2,2.64,0.7699600000000001
3,2.64,0.77243
4,2.64,0.7654500000000001
5,2.64,0.76923
6,2.64,0.7675599999999999
7,2.64,0.74434
8,2.64,0.69044
9,2.64,0.67149
10,2.64,0.64937
11,2.64,0.63227
12,2.64,0.62962
13,2.64,0.63199
14,2.64,0.648
15,2.64,0.72845
16,2.64,0.7673099999999999
17,2.64,0.76235
18,2.64,0.76481
19,2.64,0.7658400000000001
20,2.64,0.76747
21,2.64,0.77286
22,2.64,0.77299
23,2.64,0.77616
24,2.64,0.77538
25,2.64,0.7748999999999999
26,2.64,0.77688
27,2.64,0.77732
28,2.64,0.7742100000000001
29,2.64,0.76716
30,2.64,0.76827
31,2.64,0.77774
32,2.64,0.77746
33,2.64,0.7769299999999999
34,2.64,0.7782
35,2.64,0.76798
36,2.64,0.7583300000000001
37,2.64,0.76055
38,2.64,0.7613300000000001
39,2.64,0.76659
40,2.64,0.7659199999999999
41,2.64,0.76387
42,2.64,0.77479
43,2.64,0.77024
44,2.64,0.76798
45,2.64,0.76654
46,2.64,0.75136
47,2.64,0.75962
48,2.64,0.75613
49,2.64,0.76077
50,2.64,0.76027
51,2.64,0.7690499999999999
52,2.64,0.7669600000000001
53,2.64,0.77664
54,2.64,0.7794800000000001
55,2.64,0.78
56,2.64,0.77898
57,2.64,0.7785299999999999
58,2.64,0.7748400000000001
59,2.64,0.7745
60,2.64,0.77312
61,2.64,0.7759199999999999
62,2.64,0.77777
63,2.64,0.77101
64,2.64,0.77286
65,2.64,0.7709199999999999
66,2.64,0.77673
67,2.64,0.78691
68,2.64,0.78619
69,2.64,0.78738
70,2.64,0.786
71,2.64,0.78818
72,2.64,0.77088
73,2.64,0.79495
74,2.64,0.7956599999999999
75,2.64,0.7979400000000001
76,2.64,0.8167000000000001
77,2.64,0.8204600000000001
78,2.64,0.8383999999999999
79,2.64,0.84746
80,2.64,0.84633
81,2.64,0.8465
82,2.64,0.85645
83,2.64,0.85388
84,2.64,0.85349
85,2.64,0.85588
86,2.64,0.85794
87,2.64,0.86036
88,2.64,0.86186
89,2.64,0.86256
90,2.64,0.8617
91,2.64,0.8613
92,2.64,0.86068
93,2.64,0.85858
94,2.64,0.86045
95,2.64,0.85658
96,2.64,0.85802
97,2.64,0.85825
98,2.64,0.85452
99,2.64,0.85617
100,2.64,0.8565900000000001
101,2.64,0.85699
102,2.64,0.85642
103,2.64,0.85294
104,2.64,0.85364
105,2.64,0.8524299999999999
106,2.64,0.8561599999999999
107,2.64,0.8581599999999999
108,2.64,0.85412
109,2.64,0.85441
110,2.64,0.85663
111,2.64,0.85733
112,2.64,0.85737
113,2.64,0.85385
114,2.64,0.85477
115,2.64,0.8540599999999999
116,2.64,0.85664
117,2.64,0.8567
118,2.64,0.85392
119,2.64,0.85337
120,2.64,0.8543
121,2.64,0.8564700000000001
122,2.64,0.85548
123,2.64,0.85512
124,2.64,0.85502
125,2.64,0.8558300000000001
126,2.64,0.85697
127,2.64,0.85662
128,2.64,0.85696
129,2.64,0.85648
130,2.64,0.85709
131,2.64,0.85829
132,2.64,0.8594700000000001
133,2.64,0.85702
134,2.64,0.8588
135,2.64,0.85888
136,2.64,0.8591799999999999
137,2.64,0.8581599999999999
138,2.64,0.85491
139,2.64,0.85582
140,2.64,0.85627
141,2.64,0.85584
142,2.64,0.8546900000000001
143,2.64,0.85527
144,2.64,0.85582
145,2.64,0.8577
146,2.64,0.85724
147,2.64,0.85004
148,2.64,0.84697
149,2.64,0.8460700000000001
150,2.64,0.8391799999999999
151,2.64,0.84438
152,2.64,0.8437100000000001
153,2.64,0.84204
154,2.64,0.8410700000000001
155,2.64,0.8520599999999999
156,2.64,0.86011
157,2.64,0.85705
158,2.64,0.8598
159,2.64,0.8620399999999999
160,2.64,0.8449
161,2.64,0.86552
162,2.64,0.86407
163,2.64,0.86484
164,2.64,0.84827
165,2.64,0.86712
166,2.64,0.85797
167,2.64,0.8598300000000001
168,2.64,0.85898
169,2.64,0.8601599999999999
170,2.64,0.8636699999999999
171,2.64,0.8627
172,2.64,0.86133
173,2.64,0.85941
174,2.64,0.85342
175,2.64,0.8734400000000001
176,2.64,0.87021
177,2.64,0.8718400000000001
178,2.64,0.86017
179,2.64,0.87437
180,2.64,0.8723500000000001
181,2.64,0.8742300000000001
182,2.64,0.8724500000000001
183,2.64,0.87149
184,2.64,0.86986
185,2.64,0.86693
186,2.64,0.86791
187,2.64,0.86724
188,2.64,0.86221
189,2.64,0.86838
190,2.64,0.86227
191,2.64,0.86534
192,2.64,0.86646
193,2.64,0.86258
194,2.64,0.86972
195,2.64,0.86924
196,2.64,0.8691599999999999
197,2.64,0.8678400000000001
198,2.64,0.86245
199,2.64,0.87149
200,2.64,0.8694
201,2.64,0.8696699999999999
202,2.64,0.8675499999999999
203,2.64,0.86277
204,2.64,0.86042
205,2.64,0.85876
206,2.64,0.8574700000000001
207,2.64,0.85526
208,2.64,0.8391799999999999
209,2.64,0.8498
210,2.64,0.84051
211,2.64,0.83909
212,2.64,0.83987
213,2.64,0.83593
214,2.64,0.82912
215,2.64,0.82841
216,2.64,0.82578
217,2.64,0.81992
218,2.64,0.81755
219,2.64,0.8181499999999999
220,2.64,0.81763
221,2.64,0.81714
222,2.64,0.8187000000000001
223,2.64,0.84099
224,2.64,0.84556
225,2.64,0.82284
226,2.64,0.8374400000000001
227,2.64,0.83984
228,2.64,0.84275
229,2.64,0.867
230,2.64,0.8723200000000001
231,2.64,0.87387
232,2.64,0.89286
233,2.64,0.91953
234,2.64,0.90299
235,2.64,0.93638
236,2.64,0.93921
237,2.64,0.9376599999999999
238,2.64,0.91237
239,2.64,0.91837
240,2.64,0.91759
241,2.64,0.92765
242,2.64,0.93038
