frame_id,category,algorithm,section,latency,node_id,node_name
1,Scheduling,dynamic_round_robin,scheduling,69.96679306030273,60a359f84367f6ed4149acd8,2
1,Pre-processing,N/A,preproc_det,13.612508773803711,-,-
1,Object Detection,YOLOv3,detection,29.861927032470703,-,-
1,from_numpy,YOLOv3,detection,0.03838539123535156,-,-
1,image4yolo,YOLOv3,detection,0.4830360412597656,-,-
1,pred,YOLOv3,detection,27.060985565185547,-,-
1,Extra Pipeline,PiH Candidate Selection,candidate_selection,6.278514862060547,-,-
1,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.03552436828613281,-,-
1,End-to-End,N/A,e2e_latency,71.09546661376953,60a359f84367f6ed4149acd8,2
2,Scheduling,dynamic_round_robin,scheduling,89.18261528015137,60a35a064367f6ed4149acd9,3
2,Pre-processing,N/A,preproc_det,19.830703735351562,-,-
2,Object Detection,YOLOv3,detection,29.035091400146484,-,-
2,from_numpy,YOLOv3,detection,0.05030632019042969,-,-
2,image4yolo,YOLOv3,detection,0.7727146148681641,-,-
2,pred,YOLOv3,detection,25.707244873046875,-,-
2,Extra Pipeline,PiH Candidate Selection,candidate_selection,7.2994232177734375,-,-
2,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.03600120544433594,-,-
2,End-to-End,N/A,e2e_latency,75.29759407043457,60a35a064367f6ed4149acd9,3
3,Scheduling,dynamic_round_robin,scheduling,57.305335998535156,60a359ed4367f6ed4149acd7,1
3,Pre-processing,N/A,preproc_det,19.189119338989258,-,-
3,Object Detection,YOLOv3,detection,29.825687408447266,-,-
3,from_numpy,YOLOv3,detection,0.05364418029785156,-,-
3,image4yolo,YOLOv3,detection,0.4832744598388672,-,-
3,pred,YOLOv3,detection,26.435375213623047,-,-
3,Extra Pipeline,PiH Candidate Selection,candidate_selection,3.6754608154296875,-,-
3,End-to-End,N/A,e2e_latency,68.59827041625977,60a359ed4367f6ed4149acd7,1
4,Scheduling,dynamic_round_robin,scheduling,78.64546775817871,60a359f84367f6ed4149acd8,2
4,Pre-processing,N/A,preproc_det,19.564390182495117,-,-
,sorting,Sorting Network,scheduling,0.2028942108154297,-,-
4,Object Detection,YOLOv3,detection,24.881362915039062,-,-
4,from_numpy,YOLOv3,detection,0.03695487976074219,-,-
4,image4yolo,YOLOv3,detection,0.6043910980224609,-,-
4,pred,YOLOv3,detection,22.821903228759766,-,-
4,Extra Pipeline,PiH Candidate Selection,candidate_selection,4.288434982299805,-,-
4,End-to-End,N/A,e2e_latency,62.99114227294922,60a359f84367f6ed4149acd8,2
5,Scheduling,dynamic_round_robin,scheduling,83.33349227905273,60a35a064367f6ed4149acd9,3
5,Pre-processing,N/A,preproc_det,18.905162811279297,-,-
5,Object Detection,YOLOv3,detection,20.779132843017578,-,-
5,from_numpy,YOLOv3,detection,0.027418136596679688,-,-
5,image4yolo,YOLOv3,detection,0.6530284881591797,-,-
5,pred,YOLOv3,detection,18.7375545501709,-,-
5,Extra Pipeline,PiH Candidate Selection,candidate_selection,15.772104263305664,-,-
5,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.023603439331054688,-,-
5,End-to-End,N/A,e2e_latency,73.01044464111328,60a35a064367f6ed4149acd9,3
6,Scheduling,dynamic_round_robin,scheduling,84.0156078338623,60a359ed4367f6ed4149acd7,1
6,Pre-processing,N/A,preproc_det,17.406463623046875,-,-
6,Object Detection,YOLOv3,detection,21.531343460083008,-,-
6,from_numpy,YOLOv3,detection,0.037670135498046875,-,-
6,image4yolo,YOLOv3,detection,0.4947185516357422,-,-
6,pred,YOLOv3,detection,19.509315490722656,-,-
6,Extra Pipeline,PiH Candidate Selection,candidate_selection,6.039142608642578,-,-
6,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.05340576171875,-,-
6,End-to-End,N/A,e2e_latency,65.10305404663086,60a359ed4367f6ed4149acd7,1
7,Scheduling,dynamic_round_robin,scheduling,36.199331283569336,60a359f84367f6ed4149acd8,2
7,Pre-processing,N/A,preproc_det,24.03855323791504,-,-
7,Object Detection,YOLOv3,detection,17.119407653808594,-,-
7,from_numpy,YOLOv3,detection,0.030755996704101562,-,-
7,image4yolo,YOLOv3,detection,0.5042552947998047,-,-
7,pred,YOLOv3,detection,14.929056167602539,-,-
7,Extra Pipeline,PiH Candidate Selection,candidate_selection,11.32655143737793,-,-
7,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.020742416381835938,-,-
7,End-to-End,N/A,e2e_latency,59.17716026306152,60a359f84367f6ed4149acd8,2
8,Scheduling,dynamic_round_robin,scheduling,41.38302803039551,60a35a064367f6ed4149acd9,3
8,Pre-processing,N/A,preproc_det,17.923355102539062,-,-
8,Object Detection,YOLOv3,detection,13.602972030639648,-,-
,sorting,Sorting Network,scheduling,0.24628639221191406,-,-
8,from_numpy,YOLOv3,detection,0.0286102294921875,-,-
8,image4yolo,YOLOv3,detection,0.6473064422607422,-,-
8,pred,YOLOv3,detection,9.253501892089844,-,-
8,Extra Pipeline,PiH Candidate Selection,candidate_selection,5.65648078918457,-,-
8,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.016450881958007812,-,-
8,End-to-End,N/A,e2e_latency,48.51055145263672,60a35a064367f6ed4149acd9,3
9,Scheduling,dynamic_round_robin,scheduling,89.20049667358398,60a359ed4367f6ed4149acd7,1
9,Pre-processing,N/A,preproc_det,19.656896591186523,-,-
9,Object Detection,YOLOv3,detection,13.490676879882812,-,-
9,from_numpy,YOLOv3,detection,0.03600120544433594,-,-
9,image4yolo,YOLOv3,detection,0.48851966857910156,-,-
9,pred,YOLOv3,detection,9.926319122314453,-,-
9,Extra Pipeline,PiH Candidate Selection,candidate_selection,6.480693817138672,-,-
9,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.02193450927734375,-,-
9,End-to-End,N/A,e2e_latency,54.714202880859375,60a359ed4367f6ed4149acd7,1
10,Scheduling,dynamic_round_robin,scheduling,57.91878700256348,60a359f84367f6ed4149acd8,2
10,Pre-processing,N/A,preproc_det,19.31619644165039,-,-
10,Object Detection,YOLOv3,detection,20.46680450439453,-,-
10,from_numpy,YOLOv3,detection,0.04124641418457031,-,-
10,image4yolo,YOLOv3,detection,0.7112026214599609,-,-
10,pred,YOLOv3,detection,18.20683479309082,-,-
10,Extra Pipeline,PiH Candidate Selection,candidate_selection,11.963605880737305,-,-
10,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.03647804260253906,-,-
10,End-to-End,N/A,e2e_latency,65.87767601013184,60a359f84367f6ed4149acd8,2
11,Scheduling,dynamic_round_robin,scheduling,94.21086311340332,60a35a064367f6ed4149acd9,3
11,Pre-processing,N/A,preproc_det,17.671823501586914,-,-
11,Object Detection,YOLOv3,detection,13.532638549804688,-,-
11,from_numpy,YOLOv3,detection,0.035762786865234375,-,-
11,image4yolo,YOLOv3,detection,0.4782676696777344,-,-
11,pred,YOLOv3,detection,9.578466415405273,-,-
11,Extra Pipeline,PiH Candidate Selection,candidate_selection,12.132644653320312,-,-
11,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.02288818359375,-,-
11,End-to-End,N/A,e2e_latency,59.53788757324219,60a35a064367f6ed4149acd9,3
12,Scheduling,dynamic_round_robin,scheduling,89.25867080688477,60a359ed4367f6ed4149acd7,1
12,Pre-processing,N/A,preproc_det,19.657135009765625,-,-
12,Object Detection,YOLOv3,detection,13.512611389160156,-,-
,sorting,Sorting Network,scheduling,0.2129077911376953,-,-
12,from_numpy,YOLOv3,detection,0.03552436828613281,-,-
12,image4yolo,YOLOv3,detection,0.5064010620117188,-,-
12,pred,YOLOv3,detection,9.384632110595703,-,-
12,Extra Pipeline,PiH Candidate Selection,candidate_selection,7.332086563110352,-,-
12,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.019550323486328125,-,-
12,End-to-End,N/A,e2e_latency,52.611351013183594,60a359ed4367f6ed4149acd7,1
13,Scheduling,dynamic_round_robin,scheduling,84.00940895080566,60a359f84367f6ed4149acd8,2
13,Pre-processing,N/A,preproc_det,19.72031593322754,-,-
13,Object Detection,YOLOv3,detection,20.48802375793457,-,-
13,from_numpy,YOLOv3,detection,0.036716461181640625,-,-
13,image4yolo,YOLOv3,detection,0.6716251373291016,-,-
13,pred,YOLOv3,detection,18.033742904663086,-,-
13,Extra Pipeline,PiH Candidate Selection,candidate_selection,3.9763450622558594,-,-
13,End-to-End,N/A,e2e_latency,55.91464042663574,60a359f84367f6ed4149acd8,2
14,Scheduling,dynamic_round_robin,scheduling,94.40064430236816,60a35a064367f6ed4149acd9,3
14,Pre-processing,N/A,preproc_det,19.412755966186523,-,-
14,Object Detection,YOLOv3,detection,13.947010040283203,-,-
14,from_numpy,YOLOv3,detection,0.031948089599609375,-,-
14,image4yolo,YOLOv3,detection,0.6892681121826172,-,-
14,pred,YOLOv3,detection,10.671854019165039,-,-
14,Extra Pipeline,PiH Candidate Selection,candidate_selection,4.160404205322266,-,-
14,End-to-End,N/A,e2e_latency,49.09682273864746,60a35a064367f6ed4149acd9,3
15,Scheduling,dynamic_round_robin,scheduling,83.36353302001953,60a359ed4367f6ed4149acd7,1
15,Pre-processing,N/A,preproc_det,18.056631088256836,-,-
15,Object Detection,YOLOv3,detection,13.718605041503906,-,-
15,from_numpy,YOLOv3,detection,0.039577484130859375,-,-
15,image4yolo,YOLOv3,detection,0.6849765777587891,-,-
15,pred,YOLOv3,detection,9.083271026611328,-,-
15,Extra Pipeline,PiH Candidate Selection,candidate_selection,2.8867721557617188,-,-
15,End-to-End,N/A,e2e_latency,45.13907432556152,60a359ed4367f6ed4149acd7,1
16,Scheduling,dynamic_round_robin,scheduling,88.5777473449707,60a359f84367f6ed4149acd8,2
16,Pre-processing,N/A,preproc_det,20.799875259399414,-,-
16,Object Detection,YOLOv3,detection,18.915653228759766,-,-
,sorting,Sorting Network,scheduling,0.1709461212158203,-,-
16,from_numpy,YOLOv3,detection,0.04029273986816406,-,-
16,image4yolo,YOLOv3,detection,0.7343292236328125,-,-
16,pred,YOLOv3,detection,16.413450241088867,-,-
16,Extra Pipeline,PiH Candidate Selection,candidate_selection,4.29844856262207,-,-
16,Extra Pipeline,PiH Persistence Validation,persistence_validation,0.020265579223632812,-,-
16,End-to-End,N/A,e2e_latency,58.587074279785156,60a359f84367f6ed4149acd8,2
17,Scheduling,dynamic_round_robin,scheduling,88.75083923339844,60a35a064367f6ed4149acd9,3
17,Pre-processing,N/A,preproc_det,17.897844314575195,-,-
17,Object Detection,YOLOv3,detection,18.610477447509766,-,-
17,from_numpy,YOLOv3,detection,0.03790855407714844,-,-
17,image4yolo,YOLOv3,detection,0.4832744598388672,-,-
17,pred,YOLOv3,detection,16.329050064086914,-,-
17,Extra Pipeline,PiH Candidate Selection,candidate_selection,4.111289978027344,-,-
17,End-to-End,N/A,e2e_latency,57.27720260620117,60a35a064367f6ed4149acd9,3
18,Scheduling,dynamic_round_robin,scheduling,88.79661560058594,60a359ed4367f6ed4149acd7,1
18,Pre-processing,N/A,preproc_det,17.54140853881836,-,-
18,Object Detection,YOLOv3,detection,13.583660125732422,-,-
18,from_numpy,YOLOv3,detection,0.030755996704101562,-,-
18,image4yolo,YOLOv3,detection,0.6628036499023438,-,-
18,pred,YOLOv3,detection,8.775472640991211,-,-
18,Extra Pipeline,PiH Candidate Selection,candidate_selection,2.736806869506836,-,-
18,End-to-End,N/A,e2e_latency,44.74020004272461,60a359ed4367f6ed4149acd7,1
19,Scheduling,dynamic_round_robin,scheduling,57.30557441711426,60a359f84367f6ed4149acd8,2
19,Pre-processing,N/A,preproc_det,16.912460327148438,-,-
19,Object Detection,YOLOv3,detection,13.75889778137207,-,-
19,from_numpy,YOLOv3,detection,0.03790855407714844,-,-
19,image4yolo,YOLOv3,detection,0.6783008575439453,-,-
19,pred,YOLOv3,detection,9.709596633911133,-,-
19,Extra Pipeline,PiH Candidate Selection,candidate_selection,3.9260387420654297,-,-
19,End-to-End,N/A,e2e_latency,45.24064064025879,60a359f84367f6ed4149acd8,2
20,Scheduling,dynamic_round_robin,scheduling,93.92857551574707,60a35a064367f6ed4149acd9,3
20,Pre-processing,N/A,preproc_det,18.894433975219727,-,-
,sorting,Sorting Network,scheduling,0.2319812774658203,-,-
20,Object Detection,YOLOv3,detection,19.32525634765625,-,-
20,from_numpy,YOLOv3,detection,0.03719329833984375,-,-
20,image4yolo,YOLOv3,detection,0.51116943359375,-,-
20,pred,YOLOv3,detection,16.303539276123047,-,-
20,Extra Pipeline,PiH Candidate Selection,candidate_selection,5.497455596923828,-,-
20,End-to-End,N/A,e2e_latency,57.56354331970215,60a35a064367f6ed4149acd9,3
21,Scheduling,dynamic_round_robin,scheduling,89.14589881896973,60a359ed4367f6ed4149acd7,1
21,Pre-processing,N/A,preproc_det,17.879486083984375,-,-
21,Object Detection,YOLOv3,detection,13.560056686401367,-,-
21,from_numpy,YOLOv3,detection,0.03504753112792969,-,-
21,image4yolo,YOLOv3,detection,0.5044937133789062,-,-
21,pred,YOLOv3,detection,9.881019592285156,-,-
21,Extra Pipeline,PiH Candidate Selection,candidate_selection,3.454446792602539,-,-
21,End-to-End,N/A,e2e_latency,46.936750411987305,60a359ed4367f6ed4149acd7,1
22,Scheduling,dynamic_round_robin,scheduling,88.43684196472168,60a359f84367f6ed4149acd8,2
22,Pre-processing,N/A,preproc_det,18.882274627685547,-,-
22,Object Detection,YOLOv3,detection,18.500804901123047,-,-
22,from_numpy,YOLOv3,detection,0.03743171691894531,-,-
22,image4yolo,YOLOv3,detection,0.6725788116455078,-,-
22,pred,YOLOv3,detection,16.047954559326172,-,-
22,Extra Pipeline,PiH Candidate Selection,candidate_selection,2.8581619262695312,-,-
22,End-to-End,N/A,e2e_latency,52.10280418395996,60a359f84367f6ed4149acd8,2
23,Scheduling,dynamic_round_robin,scheduling,88.56320381164551,60a35a064367f6ed4149acd9,3
23,Pre-processing,N/A,preproc_det,18.12124252319336,-,-
